GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC03_VC03,HC01_VC13,HC03_VC13,HC01_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC24,HC02_VC24,HC03_VC24,HC04_VC24,HC01_VC35,HC02_VC35,HC03_VC35,HC04_VC35,HC01_VC41,HC02_VC41,HC03_VC41,HC04_VC41,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC75,HC02_VC75,HC03_VC75,HC04_VC75,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC84,HC02_VC84,HC03_VC84,HC04_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC86,HC02_VC86,HC03_VC86,HC04_VC86,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC109,HC02_VC109,HC03_VC109,HC04_VC109,HC01_VC113,HC02_VC113,HC03_VC113,HC04_VC113
Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Estimate; SEX AND AGE - 20 to 24 years,Percent; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Percent; SEX AND AGE - 25 to 34 years,Percent Margin of Error; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Margin of Error; SEX AND AGE - 35 to 44 years,Percent; SEX AND AGE - 35 to 44 years,Percent Margin of Error; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Margin of Error; SEX AND AGE - 45 to 54 years,Percent; SEX AND AGE - 45 to 54 years,Percent Margin of Error; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Margin of Error; SEX AND AGE - 55 to 59 years,Percent; SEX AND AGE - 55 to 59 years,Percent Margin of Error; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Margin of Error; SEX AND AGE - 60 to 64 years,Percent; SEX AND AGE - 60 to 64 years,Percent Margin of Error; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Margin of Error; SEX AND AGE - 65 to 74 years,Percent; SEX AND AGE - 65 to 74 years,Percent Margin of Error; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - Median age (years),Margin of Error; SEX AND AGE - Median age (years),Percent; SEX AND AGE - Median age (years),Percent Margin of Error; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - 18 years and over,Margin of Error; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 18 years and over,Percent Margin of Error; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 65 years and over,Margin of Error; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 65 years and over,Percent Margin of Error; SEX AND AGE - 65 years and over,Estimate; RACE - Total population,Margin of Error; RACE - Total population,Percent; RACE - Total population,Percent Margin of Error; RACE - Total population,Estimate; RACE - Total population - Two or more races,Margin of Error; RACE - Total population - Two or more races,Percent; RACE - Total population - Two or more races,Percent Margin of Error; RACE - Total population - Two or more races,Estimate; RACE - One race,Margin of Error; RACE - One race,Percent; RACE - One race,Percent Margin of Error; RACE - One race,Estimate; RACE - Two or more races,Margin of Error; RACE - Two or more races,Percent; RACE - Two or more races,Percent Margin of Error; RACE - Two or more races,Estimate; RACE - Race alone or in combination with one or more other races - Total population,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population,Percent; RACE - Race alone or in combination with one or more other races - Total population,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population,Estimate; RACE - Race alone or in combination with one or more other races - Total population - White,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - White,Percent; RACE - Race alone or in combination with one or more other races - Total population - White,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - White,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Estimate; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Percent; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Asian,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Asian,Percent; RACE - Race alone or in combination with one or more other races - Total population - Asian,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Asian,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Percent; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Percent; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Percent Margin of Error; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Estimate; HISPANIC OR LATINO AND RACE - Total population,Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total housing units,Margin of Error; HISPANIC OR LATINO AND RACE - Total housing units,Percent; HISPANIC OR LATINO AND RACE - Total housing units,Percent Margin of Error; HISPANIC OR LATINO AND RACE - Total housing units,"Estimate; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population","Margin of Error; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population","Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population","Percent Margin of Error; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population"
8600000US06390,6390,ZCTA5 06390,230,230,2,0.9,5,2.2,3.8,55,44,23.9,9.2,5,5,2.2,2.5,34,47,14.8,21.3,27,25,11.7,9.6,45,37,19.6,8.1,52.5,23,(X),(X),183,110,183,(X),53,37,53,(X),230,139,230,(X),4,8,1.7,3.4,226,136,98.3,3.4,4,8,1.7,3.4,230,139,230,(X),223,136,97,3.6,4,8,1.7,3.4,0,11,0,12.2,0,11,0,12.2,0,11,0,12.2,7,8,3,3.6,230,139,230,(X),3,8,1.3,4,0,11,0,12.2,3,8,1.3,4,0,11,0,12.2,0,11,0,12.2,227,139,98.7,4,820,93,(X),(X),179,106,179,(X)
8600000US07421,7421,ZCTA5 07421,7351,7351,454,6.2,836,11.4,3.3,809,155,11,2.1,1208,249,16.4,3.3,785,177,10.7,2.3,738,163,10,2.2,571,121,7.8,1.7,43.9,2.1,(X),(X),5804,388,5804,(X),797,118,797,(X),7351,509,7351,(X),108,65,1.5,0.9,7243,490,98.5,0.9,108,65,1.5,0.9,7351,509,7351,(X),6597,532,89.7,4.6,123,110,1.7,1.5,227,219,3.1,3,148,156,2,2.1,0,17,0,0.4,378,311,5.1,4.2,7351,509,7351,(X),462,263,6.3,3.6,11,18,0.1,0.2,210,191,2.9,2.6,88,95,1.2,1.3,153,113,2.1,1.5,6889,569,93.7,3.6,3285,160,(X),(X),5689,391,5689,(X)
8600000US10001,10001,ZCTA5 10001,23947,23947,2524,10.5,5682,23.7,3.1,3505,483,14.6,1.8,2916,473,12.2,1.8,1348,305,5.6,1.3,1437,313,6,1.3,1638,336,6.8,1.3,35.3,1.3,(X),(X),21245,977,21245,(X),2951,371,2951,(X),23947,1738,23947,(X),527,197,2.2,0.8,23420,1744,97.8,0.8,527,197,2.2,0.8,23947,1738,23947,(X),15388,1016,64.3,4.7,2737,1570,11.4,5.9,146,91,0.6,0.4,5462,606,22.8,3.1,5,11,0,0.1,746,324,3.1,1.4,23947,1738,23947,(X),3452,528,14.4,2.4,284,125,1.2,0.5,1626,613,6.8,2.6,143,118,0.6,0.5,1399,561,5.8,2.4,20495,1809,85.6,2.4,13836,455,(X),(X),17459,945,17459,(X)
8600000US10002,10002,ZCTA5 10002,77925,77925,5037,6.5,14605,18.7,1.4,10138,925,13,1.1,10600,755,13.6,0.9,4582,659,5.9,0.8,5276,545,6.8,0.7,7749,728,9.9,0.9,41.8,1.4,(X),(X),67341,1733,67341,(X),15737,909,15737,(X),77925,2031,77925,(X),2697,695,3.5,0.9,75228,2137,96.5,0.9,2697,695,3.5,0.9,77925,2031,77925,(X),26663,1705,34.2,2,6974,1015,8.9,1.3,923,418,1.2,0.5,34816,1850,44.7,1.9,204,176,0.3,0.2,11351,1313,14.6,1.7,77925,2031,77925,(X),21350,1339,27.4,1.5,435,211,0.6,0.3,12748,1368,16.4,1.7,241,169,0.3,0.2,7926,1252,10.2,1.6,56575,1868,72.6,1.5,35803,489,(X),(X),54497,1584,54497,(X)
8600000US10003,10003,ZCTA5 10003,55035,55035,5037,9.2,14389,26.1,1.7,8134,813,14.8,1.3,4809,635,8.7,1.1,2405,390,4.4,0.7,3223,600,5.9,1.1,3600,423,6.5,0.7,32.6,0.8,(X),(X),51228,1562,51228,(X),6379,561,6379,(X),55035,1789,55035,(X),1265,351,2.3,0.6,53770,1746,97.7,0.6,1265,351,2.3,0.6,55035,1789,55035,(X),44053,1545,80,1.5,2582,442,4.7,0.8,170,80,0.3,0.1,7843,805,14.3,1.4,161,103,0.3,0.2,1572,673,2.9,1.2,55035,1789,55035,(X),4358,784,7.9,1.4,519,273,0.9,0.5,1494,509,2.7,0.9,241,132,0.4,0.2,2104,443,3.8,0.8,50677,1683,92.1,1.4,31083,421,(X),(X),44284,1579,44284,(X)
8600000US10004,10004,ZCTA5 10004,2990,2990,152,5.1,866,29,8.9,607,194,20.3,6.3,403,174,13.5,5.6,183,97,6.1,3,152,100,5.1,3.4,164,105,5.5,3.6,35.6,2.5,(X),(X),2572,407,2572,(X),198,129,198,(X),2990,532,2990,(X),65,44,2.2,1.4,2925,524,97.8,1.4,65,44,2.2,1.4,2990,532,2990,(X),2124,406,71,7.1,60,51,2,1.7,4,4,0.1,0.1,824,273,27.6,7.1,11,20,0.4,0.7,32,39,1.1,1.3,2990,532,2990,(X),222,165,7.4,5.1,137,148,4.6,4.6,18,22,0.6,0.7,0,11,0,1,67,58,2.2,2,2768,486,92.6,5.1,2044,245,(X),(X),2079,362,2079,(X)
8600000US10005,10005,ZCTA5 10005,8680,8680,1238,14.3,3313,38.2,7.7,1986,443,22.9,4.3,640,263,7.4,2.8,242,131,2.8,1.4,43,42,0.5,0.5,137,64,1.6,0.7,30.2,0.7,(X),(X),7745,722,7745,(X),179,99,179,(X),8680,922,8680,(X),320,217,3.7,2.4,8360,854,96.3,2.4,320,217,3.7,2.4,8680,922,8680,(X),6723,833,77.5,5.6,348,281,4,3.1,10,14,0.1,0.2,1636,453,18.8,5,0,16,0,0.3,288,261,3.3,2.9,8680,922,8680,(X),527,314,6.1,3.4,187,167,2.2,1.9,114,110,1.3,1.3,0,16,0,0.3,226,172,2.6,1.9,8153,858,93.9,3.4,5442,274,(X),(X),6470,792,6470,(X)
8600000US10006,10006,ZCTA5 10006,3579,3579,370,10.3,1533,42.8,7.4,640,186,17.9,4.8,232,135,6.5,3.6,166,115,4.6,3.3,86,68,2.4,1.9,0,11,0,0.8,30.7,1.5,(X),(X),3027,415,3027,(X),0,11,0,(X),3579,483,3579,(X),254,147,7.1,3.8,3325,451,92.9,3.8,254,147,7.1,3.8,3579,483,3579,(X),2649,402,74,8.4,185,155,5.2,4.3,0,11,0,0.8,826,310,23.1,7.5,0,11,0,0.8,259,220,7.2,5.9,3579,483,3579,(X),439,238,12.3,6.2,130,161,3.6,4.4,99,129,2.8,3.6,38,44,1.1,1.2,172,110,4.8,3,3140,445,87.7,6.2,2167,186,(X),(X),2517,355,2517,(X)
8600000US10007,10007,ZCTA5 10007,7036,7036,249,3.5,1729,24.6,4.5,1388,288,19.7,3.4,1134,227,16.1,2.6,281,114,4,1.7,390,197,5.5,2.7,294,129,4.2,1.8,35.4,1.7,(X),(X),5662,604,5662,(X),414,138,414,(X),7036,784,7036,(X),457,220,6.5,3.1,6579,786,93.5,3.1,457,220,6.5,3.1,7036,784,7036,(X),5512,734,78.3,3.8,481,171,6.8,2.3,50,68,0.7,1,1293,281,18.4,4.2,14,27,0.2,0.4,183,61,2.6,0.9,7036,784,7036,(X),626,235,8.9,3.4,98,91,1.4,1.3,132,68,1.9,0.9,142,119,2,1.7,254,98,3.6,1.4,6410,798,91.1,3.4,3188,218,(X),(X),4550,483,4550,(X)
