GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,Estimate; SEX AND AGE - Total population
HC02_VC03,Margin of Error; SEX AND AGE - Total population
HC03_VC03,Percent; SEX AND AGE - Total population
HC04_VC03,Percent Margin of Error; SEX AND AGE - Total population
HC01_VC06,Estimate; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC02_VC06,Margin of Error; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC03_VC06,Percent; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC04_VC06,Percent Margin of Error; SEX AND AGE - Total population - Sex ratio (males per 100 females)
HC01_VC13,Estimate; SEX AND AGE - 20 to 24 years
HC02_VC13,Margin of Error; SEX AND AGE - 20 to 24 years
HC03_VC13,Percent; SEX AND AGE - 20 to 24 years
HC04_VC13,Percent Margin of Error; SEX AND AGE - 20 to 24 years
HC01_VC14,Estimate; SEX AND AGE - 25 to 34 years
HC02_VC14,Margin of Error; SEX AND AGE - 25 to 34 years
HC03_VC14,Percent; SEX AND AGE - 25 to 34 years
HC04_VC14,Percent Margin of Error; SEX AND AGE - 25 to 34 years
HC01_VC15,Estimate; SEX AND AGE - 35 to 44 years
HC02_VC15,Margin of Error; SEX AND AGE - 35 to 44 years
HC03_VC15,Percent; SEX AND AGE - 35 to 44 years
HC04_VC15,Percent Margin of Error; SEX AND AGE - 35 to 44 years
HC01_VC16,Estimate; SEX AND AGE - 45 to 54 years
HC02_VC16,Margin of Error; SEX AND AGE - 45 to 54 years
HC03_VC16,Percent; SEX AND AGE - 45 to 54 years
HC04_VC16,Percent Margin of Error; SEX AND AGE - 45 to 54 years
HC01_VC17,Estimate; SEX AND AGE - 55 to 59 years
HC02_VC17,Margin of Error; SEX AND AGE - 55 to 59 years
HC03_VC17,Percent; SEX AND AGE - 55 to 59 years
HC04_VC17,Percent Margin of Error; SEX AND AGE - 55 to 59 years
HC01_VC18,Estimate; SEX AND AGE - 60 to 64 years
HC02_VC18,Margin of Error; SEX AND AGE - 60 to 64 years
HC03_VC18,Percent; SEX AND AGE - 60 to 64 years
HC04_VC18,Percent Margin of Error; SEX AND AGE - 60 to 64 years
HC01_VC19,Estimate; SEX AND AGE - 65 to 74 years
HC02_VC19,Margin of Error; SEX AND AGE - 65 to 74 years
HC03_VC19,Percent; SEX AND AGE - 65 to 74 years
HC04_VC19,Percent Margin of Error; SEX AND AGE - 65 to 74 years
HC01_VC24,Estimate; SEX AND AGE - Median age (years)
HC02_VC24,Margin of Error; SEX AND AGE - Median age (years)
