GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than high school graduate,Margin of Error; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Margin of Error; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Margin of Error; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Margin of Error; Total: - Graduate or professional degree,Estimate; Total: - Same house 1 year ago:,Margin of Error; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Less than high school graduate,Margin of Error; Total: - Same house 1 year ago: - Less than high school graduate,Estimate; Total: - Same house 1 year ago: - High school graduate (includes equivalency),Margin of Error; Total: - Same house 1 year ago: - High school graduate (includes equivalency),Estimate; Total: - Same house 1 year ago: - Some college or associate's degree,Margin of Error; Total: - Same house 1 year ago: - Some college or associate's degree,Estimate; Total: - Same house 1 year ago: - Bachelor's degree,Margin of Error; Total: - Same house 1 year ago: - Bachelor's degree,Estimate; Total: - Same house 1 year ago: - Graduate or professional degree,Margin of Error; Total: - Same house 1 year ago: - Graduate or professional degree,Estimate; Total: - Moved within same county:,Margin of Error; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Less than high school graduate,Margin of Error; Total: - Moved within same county: - Less than high school graduate,Estimate; Total: - Moved within same county: - High school graduate (includes equivalency),Margin of Error; Total: - Moved within same county: - High school graduate (includes equivalency),Estimate; Total: - Moved within same county: - Some college or associate's degree,Margin of Error; Total: - Moved within same county: - Some college or associate's degree,Estimate; Total: - Moved within same county: - Bachelor's degree,Margin of Error; Total: - Moved within same county: - Bachelor's degree,Estimate; Total: - Moved within same county: - Graduate or professional degree,Margin of Error; Total: - Moved within same county: - Graduate or professional degree,Estimate; Total: - Moved from different county within same state:,Margin of Error; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Less than high school graduate,Margin of Error; Total: - Moved from different county within same state: - Less than high school graduate,Estimate; Total: - Moved from different county within same state: - High school graduate (includes equivalency),Margin of Error; Total: - Moved from different county within same state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different county within same state: - Some college or associate's degree,Margin of Error; Total: - Moved from different county within same state: - Some college or associate's degree,Estimate; Total: - Moved from different county within same state: - Bachelor's degree,Margin of Error; Total: - Moved from different county within same state: - Bachelor's degree,Estimate; Total: - Moved from different county within same state: - Graduate or professional degree,Margin of Error; Total: - Moved from different county within same state: - Graduate or professional degree,Estimate; Total: - Moved from different state:,Margin of Error; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Less than high school graduate,Margin of Error; Total: - Moved from different state: - Less than high school graduate,Estimate; Total: - Moved from different state: - High school graduate (includes equivalency),Margin of Error; Total: - Moved from different state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different state: - Some college or associate's degree,Margin of Error; Total: - Moved from different state: - Some college or associate's degree,Estimate; Total: - Moved from different state: - Bachelor's degree,Margin of Error; Total: - Moved from different state: - Bachelor's degree,Estimate; Total: - Moved from different state: - Graduate or professional degree,Margin of Error; Total: - Moved from different state: - Graduate or professional degree,Estimate; Total: - Moved from abroad:,Margin of Error; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Less than high school graduate,Margin of Error; Total: - Moved from abroad: - Less than high school graduate,Estimate; Total: - Moved from abroad: - High school graduate (includes equivalency),Margin of Error; Total: - Moved from abroad: - High school graduate (includes equivalency),Estimate; Total: - Moved from abroad: - Some college or associate's degree,Margin of Error; Total: - Moved from abroad: - Some college or associate's degree,Estimate; Total: - Moved from abroad: - Bachelor's degree,Margin of Error; Total: - Moved from abroad: - Bachelor's degree,Estimate; Total: - Moved from abroad: - Graduate or professional degree,Margin of Error; Total: - Moved from abroad: - Graduate or professional degree
8600000US06390,06390,ZCTA5 06390,179,110,6,8,73,79,6,5,34,26,60,59,179,110,6,8,73,79,6,5,34,26,60,59,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US07421,07421,ZCTA5 07421,5173,381,439,181,2058,249,1171,197,1021,191,484,165,4881,364,396,180,1936,241,1140,192,975,179,434,157,168,98,29,34,103,71,0,17,36,43,0,17,59,59,14,22,11,18,24,26,0,17,10,16,65,57,0,17,8,15,7,11,10,17,40,40,0,17,0,17,0,17,0,17,0,17,0,17
8600000US10001,10001,ZCTA5 10001,17839,957,1094,319,2151,514,2062,385,6963,703,5569,515,14781,887,872,265,2024,508,1771,368,5650,623,4464,418,1255,369,53,49,5,14,135,85,614,304,448,185,620,368,108,147,122,161,26,27,140,77,224,125,704,198,32,37,0,21,28,30,340,145,304,117,479,178,29,38,0,21,102,80,219,88,129,102
8600000US10002,10002,ZCTA5 10002,60938,1715,20252,1665,12247,1098,8250,708,13236,983,6953,596,56700,1707,19620,1662,11610,1052,7672,693,11687,1012,6111,525,2008,370,263,107,285,125,137,84,868,268,455,168,1127,289,228,94,155,90,325,177,249,130,170,93,677,255,108,163,79,58,80,84,255,122,155,103,426,213,33,32,118,129,36,35,177,168,62,38
8600000US10003,10003,ZCTA5 10003,39339,1349,1377,387,2074,436,4269,586,17264,1059,14355,856,33225,1452,1202,354,1717,403,3861,578,14000,962,12445,844,3513,529,135,100,233,148,218,152,2067,408,860,239,761,246,21,24,53,44,49,35,357,157,281,165,1129,309,19,22,0,27,106,88,542,202,462,185,711,394,0,27,71,112,35,25,298,158,307,317
8600000US10004,10004,ZCTA5 10004,2409,385,34,30,49,37,146,96,1227,329,953,180,1996,353,23,26,45,36,144,95,1054,318,730,163,208,81,10,16,4,6,0,11,102,51,92,57,4,6,1,2,0,11,0,11,3,5,0,11,111,80,0,11,0,11,2,3,16,22,93,75,90,75,0,11,0,11,0,11,52,59,38,44
8600000US10005,10005,ZCTA5 10005,6403,815,45,56,340,216,353,196,2869,549,2796,606,4881,739,44,55,314,213,259,159,1981,446,2283,550,795,366,1,3,1,3,80,120,517,270,196,134,115,89,0,16,2,4,10,15,71,77,32,47,402,206,0,16,23,36,0,16,117,107,262,146,210,145,0,16,0,16,4,6,183,138,23,25
8600000US10006,10006,ZCTA5 10006,2657,370,17,27,32,37,132,84,1363,267,1113,280,2124,362,17,27,32,37,103,72,1074,268,898,263,352,150,0,11,0,11,0,11,229,123,123,85,0,11,0,11,0,11,0,11,0,11,0,11,115,79,0,11,0,11,22,35,26,43,67,57,66,57,0,11,0,11,7,18,34,33,25,32
8600000US10007,10007,ZCTA5 10007,5336,586,367,140,490,174,382,136,1980,430,2117,311,4420,533,312,124,360,140,301,122,1646,413,1801,295,525,213,1,2,46,55,52,66,273,126,153,130,154,108,40,35,69,58,13,25,32,39,0,16,41,48,0,16,0,16,0,16,0,16,41,48,196,110,14,25,15,27,16,25,29,47,122,80
