GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,Estimate; Total: - Less than high school graduate
HD02_VD03,Margin of Error; Total: - Less than high school graduate
HD01_VD04,Estimate; Total: - High school graduate (includes equivalency)
HD02_VD04,Margin of Error; Total: - High school graduate (includes equivalency)
HD01_VD05,Estimate; Total: - Some college or associate's degree
HD02_VD05,Margin of Error; Total: - Some college or associate's degree
HD01_VD06,Estimate; Total: - Bachelor's degree
HD02_VD06,Margin of Error; Total: - Bachelor's degree
HD01_VD07,Estimate; Total: - Graduate or professional degree
HD02_VD07,Margin of Error; Total: - Graduate or professional degree
HD01_VD08,Estimate; Total: - Same house 1 year ago:
HD02_VD08,Margin of Error; Total: - Same house 1 year ago:
HD01_VD09,Estimate; Total: - Same house 1 year ago: - Less than high school graduate
HD02_VD09,Margin of Error; Total: - Same house 1 year ago: - Less than high school graduate
HD01_VD10,Estimate; Total: - Same house 1 year ago: - High school graduate (includes equivalency)
HD02_VD10,Margin of Error; Total: - Same house 1 year ago: - High school graduate (includes equivalency)
HD01_VD11,Estimate; Total: - Same house 1 year ago: - Some college or associate's degree
HD02_VD11,Margin of Error; Total: - Same house 1 year ago: - Some college or associate's degree
HD01_VD12,Estimate; Total: - Same house 1 year ago: - Bachelor's degree
HD02_VD12,Margin of Error; Total: - Same house 1 year ago: - Bachelor's degree
HD01_VD13,Estimate; Total: - Same house 1 year ago: - Graduate or professional degree
HD02_VD13,Margin of Error; Total: - Same house 1 year ago: - Graduate or professional degree
HD01_VD14,Estimate; Total: - Moved within same county:
HD02_VD14,Margin of Error; Total: - Moved within same county:
HD01_VD15,Estimate; Total: - Moved within same county: - Less than high school graduate
HD02_VD15,Margin of Error; Total: - Moved within same county: - Less than high school graduate
HD01_VD16,Estimate; Total: - Moved within same county: - High school graduate (includes equivalency)
HD02_VD16,Margin of Error; Total: - Moved within same county: - High school graduate (includes equivalency)
HD01_VD17,Estimate; Total: - Moved within same county: - Some college or associate's degree
HD02_VD17,Margin of Error; Total: - Moved within same county: - Some college or associate's degree
HD01_VD18,Estimate; Total: - Moved within same county: - Bachelor's degree
HD02_VD18,Margin of Error; Total: - Moved within same county: - Bachelor's degree
HD01_VD19,Estimate; Total: - Moved within same county: - Graduate or professional degree
HD02_VD19,Margin of Error; Total: - Moved within same county: - Graduate or professional degree
HD01_VD20,Estimate; Total: - Moved from different county within same state:
HD02_VD20,Margin of Error; Total: - Moved from different county within same state:
HD01_VD21,Estimate; Total: - Moved from different county within same state: - Less than high school graduate
HD02_VD21,Margin of Error; Total: - Moved from different county within same state: - Less than high school graduate
HD01_VD22,Estimate; Total: - Moved from different county within same state: - High school graduate (includes equivalency)
HD02_VD22,Margin of Error; Total: - Moved from different county within same state: - High school graduate (includes equivalency)
HD01_VD23,Estimate; Total: - Moved from different county within same state: - Some college or associate's degree
HD02_VD23,Margin of Error; Total: - Moved from different county within same state: - Some college or associate's degree
HD01_VD24,Estimate; Total: - Moved from different county within same state: - Bachelor's degree
HD02_VD24,Margin of Error; Total: - Moved from different county within same state: - Bachelor's degree
HD01_VD25,Estimate; Total: - Moved from different county within same state: - Graduate or professional degree
HD02_VD25,Margin of Error; Total: - Moved from different county within same state: - Graduate or professional degree
HD01_VD26,Estimate; Total: - Moved from different state:
HD02_VD26,Margin of Error; Total: - Moved from different state:
HD01_VD27,Estimate; Total: - Moved from different state: - Less than high school graduate
HD02_VD27,Margin of Error; Total: - Moved from different state: - Less than high school graduate
HD01_VD28,Estimate; Total: - Moved from different state: - High school graduate (includes equivalency)
HD02_VD28,Margin of Error; Total: - Moved from different state: - High school graduate (includes equivalency)
HD01_VD29,Estimate; Total: - Moved from different state: - Some college or associate's degree
HD02_VD29,Margin of Error; Total: - Moved from different state: - Some college or associate's degree
HD01_VD30,Estimate; Total: - Moved from different state: - Bachelor's degree
HD02_VD30,Margin of Error; Total: - Moved from different state: - Bachelor's degree
HD01_VD31,Estimate; Total: - Moved from different state: - Graduate or professional degree
HD02_VD31,Margin of Error; Total: - Moved from different state: - Graduate or professional degree
HD01_VD32,Estimate; Total: - Moved from abroad:
HD02_VD32,Margin of Error; Total: - Moved from abroad:
HD01_VD33,Estimate; Total: - Moved from abroad: - Less than high school graduate
HD02_VD33,Margin of Error; Total: - Moved from abroad: - Less than high school graduate
HD01_VD34,Estimate; Total: - Moved from abroad: - High school graduate (includes equivalency)
HD02_VD34,Margin of Error; Total: - Moved from abroad: - High school graduate (includes equivalency)
HD01_VD35,Estimate; Total: - Moved from abroad: - Some college or associate's degree
HD02_VD35,Margin of Error; Total: - Moved from abroad: - Some college or associate's degree
HD01_VD36,Estimate; Total: - Moved from abroad: - Bachelor's degree
HD02_VD36,Margin of Error; Total: - Moved from abroad: - Bachelor's degree
HD01_VD37,Estimate; Total: - Moved from abroad: - Graduate or professional degree
HD02_VD37,Margin of Error; Total: - Moved from abroad: - Graduate or professional degree
