GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner-occupied housing units:,Margin of Error; Owner-occupied housing units:,Estimate; Owner-occupied housing units: - Less than high school graduate,Margin of Error; Owner-occupied housing units: - Less than high school graduate,Estimate; Owner-occupied housing units: - High school graduate (including equivalency),Margin of Error; Owner-occupied housing units: - High school graduate (including equivalency),Estimate; Owner-occupied housing units: - Some college or associate's degree,Margin of Error; Owner-occupied housing units: - Some college or associate's degree,Estimate; Owner-occupied housing units: - Bachelor's degree or higher,Margin of Error; Owner-occupied housing units: - Bachelor's degree or higher,Estimate; Renter-occupied housing units:,Margin of Error; Renter-occupied housing units:,Estimate; Renter-occupied housing units: - Less than high school graduate,Margin of Error; Renter-occupied housing units: - Less than high school graduate,Estimate; Renter-occupied housing units: - High school graduate (including equivalency),Margin of Error; Renter-occupied housing units: - High school graduate (including equivalency),Estimate; Renter-occupied housing units: - Some college or associate's degree,Margin of Error; Renter-occupied housing units: - Some college or associate's degree,Estimate; Renter-occupied housing units: - Bachelor's degree or higher,Margin of Error; Renter-occupied housing units: - Bachelor's degree or higher
8600000US06390,06390,ZCTA5 06390,77,41,51,34,0,11,5,4,2,3,44,34,26,24,2,3,18,24,2,3,4,4
8600000US07421,07421,ZCTA5 07421,2651,195,2260,180,111,71,918,132,541,133,690,165,391,112,83,51,126,75,83,61,99,64
8600000US10001,10001,ZCTA5 10001,12347,509,3479,441,106,71,137,82,288,115,2948,439,8868,475,675,241,970,266,1207,293,6016,454
8600000US10002,10002,ZCTA5 10002,33461,596,4510,346,339,124,503,155,675,163,2993,329,28951,672,9607,794,6135,678,4076,454,9133,630
8600000US10003,10003,ZCTA5 10003,26699,683,8720,611,149,127,93,52,886,253,7592,542,17979,759,668,276,815,222,2264,400,14232,653
8600000US10004,10004,ZCTA5 10004,1587,205,474,126,25,28,10,12,20,26,419,126,1113,187,0,11,23,26,42,36,1048,196
8600000US10005,10005,ZCTA5 10005,4239,381,778,235,26,49,80,97,50,75,622,211,3461,341,0,16,88,91,284,172,3089,348
8600000US10006,10006,ZCTA5 10006,1815,219,238,105,0,11,0,11,0,11,238,105,1577,218,0,11,27,32,161,86,1389,237
8600000US10007,10007,ZCTA5 10007,2761,278,1087,177,20,33,50,61,0,16,1017,173,1674,266,18,29,9,14,199,104,1448,275
8600000US10009,10009,ZCTA5 10009,29725,518,2111,336,56,38,140,79,336,132,1579,283,27614,587,2855,346,3911,535,4468,531,16380,845
8600000US10010,10010,ZCTA5 10010,15972,757,4602,672,32,44,368,295,468,229,3734,684,11370,705,434,321,577,247,1037,322,9322,585
8600000US10011,10011,ZCTA5 10011,28753,760,10506,663,92,80,553,218,992,288,8869,652,18247,807,1004,333,1268,341,2354,470,13621,892
8600000US10012,10012,ZCTA5 10012,12349,472,2201,308,78,73,125,69,157,76,1841,278,10148,542,565,205,709,221,953,219,7921,540
8600000US10013,10013,ZCTA5 10013,12207,485,3340,391,53,41,52,40,246,108,2989,360,8867,412,1814,306,931,235,947,227,5175,450
8600000US10014,10014,ZCTA5 10014,18481,591,5941,477,30,34,309,135,518,178,5084,473,12540,636,135,73,504,163,1101,318,10800,625
8600000US10016,10016,ZCTA5 10016,28681,970,8023,603,161,83,285,196,856,232,6721,596,20658,1057,896,359,1371,441,2341,528,16050,918
8600000US10017,10017,ZCTA5 10017,10076,582,4419,431,15,26,175,117,483,241,3746,450,5657,546,131,150,250,150,652,231,4624,533
8600000US10018,10018,ZCTA5 10018,4993,284,407,122,2,6,39,46,9,10,357,118,4586,299,230,133,349,158,817,200,3190,269
8600000US10019,10019,ZCTA5 10019,24512,832,4673,540,66,75,187,110,470,222,3950,508,19839,942,998,255,2008,440,2721,475,14112,891
8600000US10020,10020,ZCTA5 10020,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US10021,10021,ZCTA5 10021,24912,1181,11003,1159,29,34,485,213,1098,421,9391,1056,13909,1064,112,116,831,344,1650,464,11316,1056
8600000US10022,10022,ZCTA5 10022,17873,834,9114,629,173,185,399,177,827,284,7715,596,8759,616,169,142,396,205,882,242,7312,682
8600000US10023,10023,ZCTA5 10023,33133,1067,13964,968,225,189,731,372,1088,310,11920,838,19169,1123,788,305,1149,359,2074,456,15158,994
8600000US10024,10024,ZCTA5 10024,28418,790,11099,640,84,77,312,168,658,225,10045,617,17319,818,989,311,1291,327,1858,326,13181,722
8600000US10025,10025,ZCTA5 10025,42546,893,11870,820,75,77,335,180,1035,330,10425,777,30676,1017,3739,667,3475,634,4141,510,19321,1096
8600000US10026,10026,ZCTA5 10026,15401,461,2845,333,60,46,290,142,405,126,2090,257,12556,445,2173,383,2640,396,2621,398,5122,378
8600000US10027,10027,ZCTA5 10027,23607,606,3353,301,59,60,159,105,503,191,2632,297,20254,599,3772,464,4112,502,3405,444,8965,515
8600000US10028,10028,ZCTA5 10028,26435,858,8957,589,383,299,243,111,675,184,7656,609,17478,846,298,205,821,384,1909,380,14450,811
