Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Estimate; SEX AND AGE - 20 to 24 years,Percent; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Percent; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Percent; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Percent; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Percent; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Percent; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Percent; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - Median age (years),Percent; SEX AND AGE - Median age (years),Estimate; SEX AND AGE - 18 years and over,Percent; SEX AND AGE - 18 years and over,Estimate; SEX AND AGE - 65 years and over,Percent; SEX AND AGE - 65 years and over,Estimate; RACE - Total population,Percent; RACE - Total population,Estimate; RACE - Total population - Two or more races,Percent; RACE - Total population - Two or more races,Estimate; RACE - One race,Percent; RACE - One race,Estimate; RACE - Two or more races,Percent; RACE - Two or more races,Estimate; RACE - Race alone or in combination with one or more other races - Total population,Percent; RACE - Race alone or in combination with one or more other races - Total population,Estimate; RACE - Race alone or in combination with one or more other races - Total population - White,Percent; RACE - Race alone or in combination with one or more other races - Total population - White,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Percent; RACE - Race alone or in combination with one or more other races - Total population - Black or African American,Estimate; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Percent; RACE - Race alone or in combination with one or more other races - Total population - American Indian and Alaska Native,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Asian,Percent; RACE - Race alone or in combination with one or more other races - Total population - Asian,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Percent; RACE - Race alone or in combination with one or more other races - Total population - Native Hawaiian and Other Pacific Islander,Estimate; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Percent; RACE - Race alone or in combination with one or more other races - Total population - Some other race,Estimate; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Mexican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Puerto Rican,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Cuban,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race) - Other Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Percent; HISPANIC OR LATINO AND RACE - Total population - Not Hispanic or Latino,Estimate; HISPANIC OR LATINO AND RACE - Total housing units,Percent; HISPANIC OR LATINO AND RACE - Total housing units,"Estimate; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population","Percent; CITIZEN, VOTING AGE POPULATION - Citizen, 18 and over population"
8600000US06390,6390, 06390,230,230,2,0.9,5,2.2,55,23.9,5,2.2,34,14.8,27,11.7,45,19.6,52.5,(X),183,183,53,53,230,230,4,1.7,226,98.3,4,1.7,230,230,223,97,4,1.7,0,0,0,0,0,0,7,3,230,230,3,1.3,0,0,3,1.3,0,0,0,0,227,98.7,820,(X),179,179
8600000US07421,7421, 07421,7351,7351,454,6.2,836,11.4,809,11,1208,16.4,785,10.7,738,10,571,7.8,43.9,(X),5804,5804,797,797,7351,7351,108,1.5,7243,98.5,108,1.5,7351,7351,6597,89.7,123,1.7,227,3.1,148,2,0,0,378,5.1,7351,7351,462,6.3,11,0.1,210,2.9,88,1.2,153,2.1,6889,93.7,3285,(X),5689,5689
8600000US10001,10001, 10001,23947,23947,2524,10.5,5682,23.7,3505,14.6,2916,12.2,1348,5.6,1437,6,1638,6.8,35.3,(X),21245,21245,2951,2951,23947,23947,527,2.2,23420,97.8,527,2.2,23947,23947,15388,64.3,2737,11.4,146,0.6,5462,22.8,5,0,746,3.1,23947,23947,3452,14.4,284,1.2,1626,6.8,143,0.6,1399,5.8,20495,85.6,13836,(X),17459,17459
8600000US10002,10002, 10002,77925,77925,5037,6.5,14605,18.7,10138,13,10600,13.6,4582,5.9,5276,6.8,7749,9.9,41.8,(X),67341,67341,15737,15737,77925,77925,2697,3.5,75228,96.5,2697,3.5,77925,77925,26663,34.2,6974,8.9,923,1.2,34816,44.7,204,0.3,11351,14.6,77925,77925,21350,27.4,435,0.6,12748,16.4,241,0.3,7926,10.2,56575,72.6,35803,(X),54497,54497
8600000US10003,10003, 10003,55035,55035,5037,9.2,14389,26.1,8134,14.8,4809,8.7,2405,4.4,3223,5.9,3600,6.5,32.6,(X),51228,51228,6379,6379,55035,55035,1265,2.3,53770,97.7,1265,2.3,55035,55035,44053,80,2582,4.7,170,0.3,7843,14.3,161,0.3,1572,2.9,55035,55035,4358,7.9,519,0.9,1494,2.7,241,0.4,2104,3.8,50677,92.1,31083,(X),44284,44284
8600000US10004,10004, 10004,2990,2990,152,5.1,866,29,607,20.3,403,13.5,183,6.1,152,5.1,164,5.5,35.6,(X),2572,2572,198,198,2990,2990,65,2.2,2925,97.8,65,2.2,2990,2990,2124,71,60,2,4,0.1,824,27.6,11,0.4,32,1.1,2990,2990,222,7.4,137,4.6,18,0.6,0,0,67,2.2,2768,92.6,2044,(X),2079,2079
8600000US10005,10005, 10005,8680,8680,1238,14.3,3313,38.2,1986,22.9,640,7.4,242,2.8,43,0.5,137,1.6,30.2,(X),7745,7745,179,179,8680,8680,320,3.7,8360,96.3,320,3.7,8680,8680,6723,77.5,348,4,10,0.1,1636,18.8,0,0,288,3.3,8680,8680,527,6.1,187,2.2,114,1.3,0,0,226,2.6,8153,93.9,5442,(X),6470,6470
8600000US10006,10006, 10006,3579,3579,370,10.3,1533,42.8,640,17.9,232,6.5,166,4.6,86,2.4,0,0,30.7,(X),3027,3027,0,0,3579,3579,254,7.1,3325,92.9,254,7.1,3579,3579,2649,74,185,5.2,0,0,826,23.1,0,0,259,7.2,3579,3579,439,12.3,130,3.6,99,2.8,38,1.1,172,4.8,3140,87.7,2167,(X),2517,2517
8600000US10007,10007, 10007,7036,7036,249,3.5,1729,24.6,1388,19.7,1134,16.1,281,4,390,5.5,294,4.2,35.4,(X),5662,5662,414,414,7036,7036,457,6.5,6579,93.5,457,6.5,7036,7036,5512,78.3,481,6.8,50,0.7,1293,18.4,14,0.2,183,2.6,7036,7036,626,8.9,98,1.4,132,1.9,142,2,254,3.6,6410,91.1,3188,(X),4550,4550
8600000US10009,10009, 10009,60141,60141,5835,9.7,15571,25.9,7929,13.2,7479,12.4,3741,6.2,3283,5.5,5295,8.8,36.8,(X),53433,53433,8927,8927,60141,60141,1988,3.3,58153,96.7,1988,3.3,60141,60141,38321,63.7,6284,10.4,666,1.1,8770,14.6,67,0.1,8433,14,60141,60141,15539,25.8,1055,1.8,9210,15.3,205,0.3,5069,8.4,44602,74.2,31256,(X),47361,47361
