Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Less than high school graduate,Estimate; Total: - High school graduate (includes equivalency),Estimate; Total: - Some college or associate's degree,Estimate; Total: - Bachelor's degree,Estimate; Total: - Graduate or professional degree,Estimate; Total: - Same house 1 year ago:,Estimate; Total: - Same house 1 year ago: - Less than high school graduate,Estimate; Total: - Same house 1 year ago: - High school graduate (includes equivalency),Estimate; Total: - Same house 1 year ago: - Some college or associate's degree,Estimate; Total: - Same house 1 year ago: - Bachelor's degree,Estimate; Total: - Same house 1 year ago: - Graduate or professional degree,Estimate; Total: - Moved within same county:,Estimate; Total: - Moved within same county: - Less than high school graduate,Estimate; Total: - Moved within same county: - High school graduate (includes equivalency),Estimate; Total: - Moved within same county: - Some college or associate's degree,Estimate; Total: - Moved within same county: - Bachelor's degree,Estimate; Total: - Moved within same county: - Graduate or professional degree,Estimate; Total: - Moved from different county within same state:,Estimate; Total: - Moved from different county within same state: - Less than high school graduate,Estimate; Total: - Moved from different county within same state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different county within same state: - Some college or associate's degree,Estimate; Total: - Moved from different county within same state: - Bachelor's degree,Estimate; Total: - Moved from different county within same state: - Graduate or professional degree,Estimate; Total: - Moved from different state:,Estimate; Total: - Moved from different state: - Less than high school graduate,Estimate; Total: - Moved from different state: - High school graduate (includes equivalency),Estimate; Total: - Moved from different state: - Some college or associate's degree,Estimate; Total: - Moved from different state: - Bachelor's degree,Estimate; Total: - Moved from different state: - Graduate or professional degree,Estimate; Total: - Moved from abroad:,Estimate; Total: - Moved from abroad: - Less than high school graduate,Estimate; Total: - Moved from abroad: - High school graduate (includes equivalency),Estimate; Total: - Moved from abroad: - Some college or associate's degree,Estimate; Total: - Moved from abroad: - Bachelor's degree,Estimate; Total: - Moved from abroad: - Graduate or professional degree
8600000US06390,06390, 06390,179,6,73,6,34,60,179,6,73,6,34,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8600000US07421,07421, 07421,5173,439,2058,1171,1021,484,4881,396,1936,1140,975,434,168,29,103,0,36,0,59,14,11,24,0,10,65,0,8,7,10,40,0,0,0,0,0,0
8600000US10001,10001, 10001,17839,1094,2151,2062,6963,5569,14781,872,2024,1771,5650,4464,1255,53,5,135,614,448,620,108,122,26,140,224,704,32,0,28,340,304,479,29,0,102,219,129
8600000US10002,10002, 10002,60938,20252,12247,8250,13236,6953,56700,19620,11610,7672,11687,6111,2008,263,285,137,868,455,1127,228,155,325,249,170,677,108,79,80,255,155,426,33,118,36,177,62
8600000US10003,10003, 10003,39339,1377,2074,4269,17264,14355,33225,1202,1717,3861,14000,12445,3513,135,233,218,2067,860,761,21,53,49,357,281,1129,19,0,106,542,462,711,0,71,35,298,307
8600000US10004,10004, 10004,2409,34,49,146,1227,953,1996,23,45,144,1054,730,208,10,4,0,102,92,4,1,0,0,3,0,111,0,0,2,16,93,90,0,0,0,52,38
8600000US10005,10005, 10005,6403,45,340,353,2869,2796,4881,44,314,259,1981,2283,795,1,1,80,517,196,115,0,2,10,71,32,402,0,23,0,117,262,210,0,0,4,183,23
8600000US10006,10006, 10006,2657,17,32,132,1363,1113,2124,17,32,103,1074,898,352,0,0,0,229,123,0,0,0,0,0,0,115,0,0,22,26,67,66,0,0,7,34,25
8600000US10007,10007, 10007,5336,367,490,382,1980,2117,4420,312,360,301,1646,1801,525,1,46,52,273,153,154,40,69,13,32,0,41,0,0,0,0,41,196,14,15,16,29,122
8600000US10009,10009, 10009,46930,5844,6676,6837,17355,10218,40877,5416,6354,6275,14842,7990,3358,333,114,417,1369,1125,1087,95,172,98,517,205,1112,0,15,47,522,528,496,0,21,0,105,370
8600000US10010,10010, 10010,25360,1062,1921,2587,9830,9960,19529,895,1474,1854,7415,7891,3250,111,299,355,1432,1053,989,44,72,142,95,636,1130,12,68,53,751,246,462,0,8,183,137,134
8600000US10011,10011, 10011,42433,2031,2972,4192,16953,16285,36461,1927,2780,3782,14207,13765,3380,83,143,240,1698,1216,777,8,40,81,443,205,1133,13,0,89,444,587,682,0,9,0,161,512
8600000US10012,10012, 10012,19317,1114,1482,1351,8278,7092,15667,1000,1334,1040,6244,6049,1923,63,108,229,1092,431,601,28,40,60,226,247,821,23,0,22,482,294,305,0,0,0,234,71
8600000US10013,10013, 10013,22432,4328,2013,2230,8136,5725,19534,3878,1748,2080,6832,4996,1348,289,105,51,525,378,535,161,113,56,197,8,680,0,25,0,414,241,335,0,22,43,168,102
8600000US10014,10014, 10014,27412,250,1485,2356,13259,10062,22478,247,1393,2145,10484,8209,2614,2,70,106,1627,809,453,0,1,43,205,204,1209,1,1,43,612,552,658,0,20,19,331,288
8600000US10016,10016, 10016,40947,1741,2852,4461,18266,13627,34523,1569,2295,4172,15167,11320,3584,41,351,249,1801,1142,757,92,103,40,314,208,1323,29,33,0,732,529,760,10,70,0,252,428
8600000US10017,10017, 10017,14041,321,643,1493,6356,5228,12305,265,612,1370,5676,4382,825,46,10,34,409,326,403,0,21,32,58,292,389,10,0,54,161,164,119,0,0,3,52,64
8600000US10018,10018, 10018,7932,605,605,1006,3071,2645,6210,548,547,858,2306,1951,809,13,50,34,428,284,231,6,0,58,59,108,398,38,8,53,111,188,284,0,0,3,167,114
8600000US10019,10019, 10019,36002,1723,3450,4846,13322,12661,28763,1472,2926,4476,10114,9775,3657,167,132,152,1635,1571,859,72,142,21,379,245,1954,0,144,105,851,854,769,12,106,92,343,216
