Id,Id2,Geography,Estimate; Total:,Estimate; Owner-occupied housing units:,Estimate; Owner-occupied housing units: - Less than high school graduate,Estimate; Owner-occupied housing units: - High school graduate (including equivalency),Estimate; Owner-occupied housing units: - Some college or associate's degree,Estimate; Owner-occupied housing units: - Bachelor's degree or higher,Estimate; Renter-occupied housing units:,Estimate; Renter-occupied housing units: - Less than high school graduate,Estimate; Renter-occupied housing units: - High school graduate (including equivalency),Estimate; Renter-occupied housing units: - Some college or associate's degree,Estimate; Renter-occupied housing units: - Bachelor's degree or higher
8600000US06390,06390, 06390,77,51,0,5,2,44,26,2,18,2,4
8600000US07421,07421, 07421,2651,2260,111,918,541,690,391,83,126,83,99
8600000US10001,10001, 10001,12347,3479,106,137,288,2948,8868,675,970,1207,6016
8600000US10002,10002, 10002,33461,4510,339,503,675,2993,28951,9607,6135,4076,9133
8600000US10003,10003, 10003,26699,8720,149,93,886,7592,17979,668,815,2264,14232
8600000US10004,10004, 10004,1587,474,25,10,20,419,1113,0,23,42,1048
8600000US10005,10005, 10005,4239,778,26,80,50,622,3461,0,88,284,3089
8600000US10006,10006, 10006,1815,238,0,0,0,238,1577,0,27,161,1389
8600000US10007,10007, 10007,2761,1087,20,50,0,1017,1674,18,9,199,1448
8600000US10009,10009, 10009,29725,2111,56,140,336,1579,27614,2855,3911,4468,16380
8600000US10010,10010, 10010,15972,4602,32,368,468,3734,11370,434,577,1037,9322
8600000US10011,10011, 10011,28753,10506,92,553,992,8869,18247,1004,1268,2354,13621
8600000US10012,10012, 10012,12349,2201,78,125,157,1841,10148,565,709,953,7921
8600000US10013,10013, 10013,12207,3340,53,52,246,2989,8867,1814,931,947,5175
8600000US10014,10014, 10014,18481,5941,30,309,518,5084,12540,135,504,1101,10800
8600000US10016,10016, 10016,28681,8023,161,285,856,6721,20658,896,1371,2341,16050
8600000US10017,10017, 10017,10076,4419,15,175,483,3746,5657,131,250,652,4624
8600000US10018,10018, 10018,4993,407,2,39,9,357,4586,230,349,817,3190
8600000US10019,10019, 10019,24512,4673,66,187,470,3950,19839,998,2008,2721,14112
8600000US10020,10020, 10020,0,0,0,0,0,0,0,0,0,0,0
8600000US10021,10021, 10021,24912,11003,29,485,1098,9391,13909,112,831,1650,11316
